record_id,Date,Line items,Order Total,Order Shipping,Total,Payment Method Title,Stripe Fee,Modified Date,Status,Password,Billing Address 2,Billing Country,Billing First Name,Billing Last Name,Paid Date,Shipping City,Shipping Country,Stripe Charge Captured,Subtotal,Order number,Order note,Shipping Method Title,Order notes,Weglot Language, Shipping Method Title
12965,2023-09-03 06:44:22,"Product: Benmosche Zinfandel Wine 0,75L X 3 = €83.61. Product: Skaramuca DINGAČ ELEGANCE X 1 = €30.53. Product: Skaramuca DINGAČ RESERVA X 1 = €19.95. Product: Matuško Dingač Wine 0,75L X 1 = €21.24. ",176.13,20.8,176.13,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-09-07 13:30:26,wc-completed,&Rfo_3Or*N,Suite 932,AT,Andre,Wiggins,2023-09-03 06:44:26,Bad Sankt Leonhard im Lavanttal,AT,0,155.33,12965,Feeling call agreement wife.,Europe 1,Law hotel follow trip another.,de,
12964,2023-09-01 19:44:29,Product: Aura Biska Brandy - 700ml X 1 = €23.23. Product: - Volume: 700ml. ,42.7,19.47,42.7,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-09-04 09:31:44,wc-completed,@pW6XXsgPt,Suite 409,DE,Adam,Banks,2023-09-01 19:44:34,Iggingen,DE,0,23.23,12964,Close serve news defense site avoid difficult.,Europe 1,Stage natural free join.,de,
12940,2023-08-30 21:12:17,Product: Aura Biska Brandy - 700ml X 3 = €69.69. Product: - Volume: 700ml. ,109.02,39.33,109.02,Stripe Safe Card,1.89,2023-08-31 11:15:04,wc-completed,@tlUUThCL2,Suite 308,RO,Crystal,Fletcher,2023-08-30 21:12:25,Ciresoaia,RO,yes,69.69,12940,Music fight determine among nearly world.,Europe 3,Skill total what feeling author media stand.,en,
12930,2023-08-27 17:13:48,Product: Aura Teranino - 700ml (#38859892613365) X 1 = €24.00. Product: - Volume: 700ml. Product: Aura Orancello X 1 = €26.54. Product: Aura Biska Brandy - 700ml X 1 = €23.23. Product: - Volume: 700ml. Product: Olive Oil Belić Istarska Bjelica - 500ml X 1 = €26.00. Product: - Volume: 500ml. ,126.57,26.8,126.57,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-28 11:47:39,wc-completed,)&NmcdcOi0,Apt. 676,DK,Karen,Buchanan,2023-08-27 17:13:53,Hellerup,DK,0,99.77,12930,Everything another pretty figure.,Europe 2,Power degree soldier situation who tell well end.,en,
12880,2023-08-25 19:18:18,Product: Old Pilots London Dry Gin Gift Pack X 1 = €114.14. Product: Old Pilot's Gin Barrel Aged X 1 = €80.00. ,214.94,20.8,214.94,Stripe Safe Card,3.47,2023-08-28 11:27:56,wc-completed,PX4wEm4b1^,Suite 920,SK,Rhonda,Ramirez,2023-08-25 19:18:26,Bratislava,SK,yes,194.14,12880,Ten southern bed think for strong.,Europe 1,Film thousand rise bar source raise find.,en,
12879,2023-08-25 14:30:43,Product: Olive Oil Kota Lastovka - 500ml X 1 = €19.24. Product: - Volume: 500ml. Product: Olive Oil Kota Blend - 500ml X 1 = €19.24. Product: - Volume: 500ml. Product: Olive Oil Kota Bjelica - 500ml X 1 = €19.24. Product: - Volume: 500ml. ,77.19,19.47,77.19,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-28 11:33:25,wc-completed,*1g$OjJMWO,Apt. 990,DE,John,Matthews,2023-08-25 14:30:46,Barßel,DE,0,57.72,12879,Special worry agent low focus happen game.,Europe 1,Participant pay others here main enough.,de,
12876,2023-08-24 14:50:09,Product: Old Pilot's Gin X 1 = €48.00. Product: Old Pilot's Gin Barrel Aged X 2 = €165.90. Product: Old Pilots Vodka X 2 = €80.96. ,294.86,,294.86,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-25 09:30:28,wc-completed,n+v7OoGXbt,Suite 459,CH,Donna,Sanchez,2023-08-24 14:50:14,Niederweningen,CH,0,294.86,12876,Laugh million take.,Switzerland (Free Shipping),Memory few author case help candidate them.,de,
12734,2023-08-19 14:47:52,,50,,50,,,2023-08-21 23:30:04,wc-cancelled,5%0LhOz87f,Suite 636,,Melissa,Lopez,,,,0,0,12734,Fish him as help animal avoid I.,,Window other career.,en,
12733,2023-08-19 14:36:11,"Product: Testament Babić Wine 0,75L X 4 = €63.72. ",76.92,13.2,76.92,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-25 09:30:46,wc-completed,(4OeCl*b%w,Suite 555,SI,Cindy,King,2023-08-19 14:36:15,Kisovec,SI,0,63.72,12733,Media ok movement heart.,Slovenia,Long management lay city still lay position.,en,
12732,2023-08-19 14:28:50,Product: Skaramuca DINGAČ ELEGANCE X 6 = €183.18. ,208.65,25.47,208.65,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-25 09:30:54,wc-completed,yz*G7DXv_d,Suite 873,FR,Jason,Shaw,2023-08-19 14:28:54,Paris,FR,0,183.18,12732,Bed reduce size half and little increase.,Europe 2,Those particular point support but alone white.,en,
12731,2023-08-17 22:10:31,"Product: Malvazija Deklić Wine 0,75L X 6 = €70.20. ",99.27,29.07,99.27,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-21 09:20:06,wc-completed,92N4YaP_%b,Suite 642,NL,Michael,White,2023-08-17 22:10:35,Middelburg,NL,0,70.2,12731,Reality drop their himself.,Europe 2,Small concern none program.,en,
12730,2023-08-16 22:38:25,Product: Karbun Navy Strength Gin Aura X 1 = €48.00. Product: Aura Truffle Gin - Premium Gin with white Truffles X 1 = €112.81. ,160.81,,160.81,Stripe Safe Card,2.66,2023-08-18 11:27:35,wc-completed,M4LNU)tY(o,Suite 039,HR,Rodney,Butler,2023-08-16 22:40:02,Slavonski Brod,HR,yes,160.81,12730,Test near nice write.,Croatia (Free Shipping),For physical ground should.,hr,
12729,2023-08-16 22:09:56,"Product: Ivančić Griffin Sauvignon Blanc Premium Wine 0,75L X 10 = €131.40. ",155.4,24,155.4,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-21 09:20:12,wc-completed,+@)6Sl17mE,Apt. 330,DE,Paula,Webster,2023-08-16 22:10:00,Offenbach,DE,0,131.4,12729,Good success issue seven speech.,Europe 1,Enter issue establish friend common sea.,de,
12726,2023-08-15 08:01:00,Product: Aura Teranino - 700ml (#38859892613365) X 2 = €42.00. Product: - Volume: 700ml. ,67.47,25.47,67.47,Apple Pay (Stripe),1.26,2023-08-16 09:26:16,wc-completed,i2#3CG%g*0,Suite 000,PL,Donna,Merritt,2023-08-15 08:01:05,Turek,PL,yes,42,12726,Majority care determine article.,Europe 2,Adult choice base doctor concern street the stock.,en,
12715,2023-08-13 21:40:51,Product: Aura Teranino in Barrel X 1 = €246.35. ,265.82,19.47,265.82,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-14 09:36:50,wc-completed,+GdD$KbG+1,Suite 776,DE,Scott,Obrien,2023-08-13 21:40:55,Magdeburg,DE,0,246.35,12715,Age experience economy might.,Europe 1,Girl speak option accept us officer.,de,
12660,2023-08-09 17:26:02,"Product: Ante Sladić Lasina Opol Wine 0,75L X 12 = €146.52. ",170.52,24,170.52,Apple Pay (Stripe),3.49,2023-08-18 10:13:44,wc-completed,r#F5CfkQ5F,Suite 133,DE,Teresa,Fowler,2023-08-09 17:26:07,Hannover,DE,yes,146.52,12660,Room accept trouble either by approach cultural.,Europe 1,Form huge of body ground all month.,de,
12659,2023-08-08 09:59:55,"Product: Ivančić Griffin Zero Wine 0,75L X 12 = €350.40. ",354.7,4.3,354.7,"Direct bank transfer <img src=""https://witrina.eu/wp-content/uploads/2022/08/bank-transfer.svg"" class=""attachment-large size-large"" alt="""" />",,2023-08-16 11:15:25,wc-completed,%FO5e2Gsc_,Suite 878,HR,Andrew,Brown,2023-08-16 11:15:25,Mali Lošinj,HR,0,350.4,12659,Road reality argue argue environmental year every cost.,Croatia,School when manager international list clearly.,hr,
12654,2023-08-07 15:09:24,"Product: Jakovac Graševina Wine 0,75L X 1 = €8.89. Product: Jakovac Sauvignon Blanc Wine 0,75L X 1 = €10.00. Product: Galić Pinot Noir Wine 0,75L X 1 = €15.99. Product: Ante Sladić Maraština Wine 0,75L X 1 = €16.59. Product: Rhein Riesling Korak Wine 0,75L X 1 = €16.59. ",71.96,3.9,71.96,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-17 09:07:50,wc-completed,bDG52Yli_H,Apt. 448,HR,Jesse,Ford,2023-08-07 15:09:28,Labin,HR,0,68.06,12654,Tell million ball window interview.,Croatia,Eye college whole support.,en,
12653,2023-08-07 11:51:17,"Product: Malvazija Deklić Wine 0,75L X 12 = €140.40. ",171.07,30.67,171.07,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-07 12:26:16,wc-completed,2X7H7Glc+Z,Suite 132,NL,Rebekah,Garcia,2023-08-07 11:51:22,Rijswijk,NL,0,140.4,12653,Run herself probably in grow send.,Europe 2,Word form agreement shake nation range have.,en,
12651,2023-08-06 15:34:59,Product: Kombucha Cidrani Pure Fermented tea X 1 = €2.12. Product: Kombucha Cidrani Calm Fermented tea X 1 = €2.12. Product: Cidrani Apple Cider Original X 5 = €59.05. ,90.09,26.8,90.09,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-07 10:35:47,wc-completed,S%3GeUPuF9,Suite 360,NL,Christine,Smith,2023-08-06 15:37:53,AMSTERDAM,NL,0,63.29,12651,Can finish movie smile say.,Europe 2,Tend politics compare college.,en,
12646,2023-08-05 21:11:43,Product: Aura Teranino - 700ml (#38859892613365) X 1 = €21.00. Product: - Volume: 700ml. ,40.47,19.47,40.47,Stripe Safe Card,0.86,2023-08-07 10:36:07,wc-completed,)E2U1qoC(X,Apt. 194,HU,Vincent,Page,2023-08-05 21:13:11,"Budapest, II.",HU,yes,21,12646,Care box parent certain peace.,Europe 1,Statement he rate speech act.,en,
12645,2023-08-05 13:47:44,Product: Skaramuca DINGAČ RESERVA X 18 = €359.10. ,384.57,25.47,384.57,Apple Pay (Stripe),6.02,2023-08-09 11:13:42,wc-completed,!ZKweO53J8,Suite 095,NL,Pamela,Moss,2023-08-05 13:47:49,Oegstgeest,NL,yes,359.1,12645,Age wide administration church heavy mother billion.,Europe 2,Mind guy growth question policy international improve rise.,en,
12574,2023-08-04 01:17:05,Product: Aura Orancello X 1 = €26.54. ,52.01,25.47,52.01,Apple Pay (Stripe),1.03,2023-08-09 11:13:46,wc-completed,9LREsudB)c,Apt. 471,DK,Keith,Smith,2023-08-04 01:17:10,Dronninglund,DK,yes,26.54,12574,Radio inside most consider human kind out.,Europe 2,Bed share nice simple.,en,
12570,2023-08-02 08:26:14,"Product: Matuško Dingač Wine 0,75L X 6 = €127.44. ",156.51,3.9,156.51,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-02 18:54:04,wc-completed,yBOqvfLw@3,Suite 119,FR,Anita,Cole,2023-08-02 08:38:54,BUC,FR,0,127.44,12570,Too image finish media.,Croatia,Guess treat herself author lawyer join contain whole.,en,
12569,2023-08-01 08:00:26,Product: Cidrani Cider Apple Honey X 2 = €29.34. ,32.54,3.2,32.54,Stripe Safe Card,0.74,2023-08-02 18:54:09,wc-completed,HQ3ZUi$x&s,Suite 121,HR,Thomas,Lin,2023-08-01 08:00:31,Šibenik,HR,yes,29.34,12569,Financial wife event push act figure.,Croatia,Range material strategy.,hr,
12563,2023-07-30 20:07:18,"Product: Malvazija Deklić Wine 0,75L 12x Pack X 1 = €124.75. ",148.75,24,148.75,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-02 18:54:17,wc-completed,!kX629EaBI,Suite 243,DE,Thomas,Munoz,2023-07-30 20:07:23,Dortmund,DE,0,124.75,12563,Office clearly computer morning outside owner.,Europe 1,Work picture marriage red.,de,
12561,2023-07-28 22:50:39,Product: Kampanjola Organic Ale Light X 15 = €31.80. ,60.87,29.07,60.87,Apple Pay (Stripe),1.16,2023-08-14 08:59:20,wc-completed,T+e5gPl0Nn,Suite 508,IT,Joyce,Harrington,2023-07-28 22:50:44,Pordenone,IT,yes,31.8,12561,Where truth especially all style.,Europe 2,Them actually note develop whole soldier road.,en,
12550,2023-07-27 20:35:08,Product: Olive Oil Belić Buža - 500ml X 6 = €156.00. Product: - Volume: 500ml. Product: Olive Oil Belić Selekcija - 250ml X 1 = €15.00. Product: - Volume: 250ml. Product: Black Truffle Karlić Sea Salt with Grinder X 1 = €11.95. ,209.75,26.8,209.75,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-07-28 10:02:04,wc-completed,!Ju2kJpbx#,Apt. 679,NL,Timothy,Mendez,2023-07-27 20:35:12,Rijswijk,NL,0,182.95,12550,Several special sing candidate.,Europe 2,Maybe soon already leg.,en,
12548,2023-07-27 09:26:44,Product: Aura Teranino - 700ml (#38859892613365) X 4 = €84.00. Product: - Volume: 700ml. Product: Aura Orancello X 1 = €26.54. ,149.87,39.33,149.87,Stripe Safe Card,2.5,2023-07-27 19:55:19,wc-completed,S601AhWmq),Suite 266,RO,Cory,Norton,2023-07-27 09:37:02,Brasov,RO,yes,110.54,12548,Tv guess trial how.,Europe 3,In quality knowledge another west.,en,
12547,2023-07-25 22:38:12,Product: Aura Orancello X 4 = €106.16. ,132.96,26.8,132.96,Stripe Safe Card,4.57,2023-07-26 19:39:01,wc-completed,)15a4RouMs,Apt. 022,IT,Betty,Kirk,2023-07-25 22:38:17,Castiglione del lago,IT,yes,106.16,12547,Cultural you guess training cold sea local.,Europe 2,Trial blood late moment.,en,
12543,2023-07-23 21:44:43,Product: Olive Oil Kota Lastovka - 500ml X 3 = €57.72. Product: - Volume: 500ml. ,77.19,19.47,77.19,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-07-31 09:29:59,wc-completed,#R@d0ZrpJg,Suite 441,DE,Lauren,Morales,2023-07-23 21:44:48,Hessisch Oldendorf,DE,0,57.72,12543,Type resource experience.,Europe 1,Meeting public than color grow whatever few sell.,de,
12542,2023-07-23 20:13:00,"Product: Karbun Dry Gin Aura - 750ml X 1 = €41.14. Product: - Volume: 750ml. Product: Karbun Navy Strength Gin Aura X 1 = €48.00. Product: Old Pilot's Gin X 1 = €48.00. Product: Agramero Gin Wine 0,75L X 1 = €41.14. Product: Edelweisser Gin X 1 = €39.82. Product: Curzola 1298 Gin X 1 = €37.83. Product: Setti Monti Gin X 1 = €49.11. Product: Rhapsody Dry Gin X 1 = €41.14. ",346.18,,346.18,Pay Later,,2023-09-08 09:20:41,wc-completed,@!w2e1Ili%,Suite 786,FR,Bill,Zuniga,2023-07-23 20:13:04,NANTES,FR,0,346.18,12542,Read night carry interest.,Free shipping,Shake share necessary find.,en,
12541,2023-07-23 12:13:46,Product: Rhapsody Dry Gin X 1 = €41.14. ,44.34,3.2,44.34,Stripe Safe Card,0.92,2023-07-24 17:50:46,wc-completed,+3fBD^bouK,Suite 739,HR,Jennifer,Phillips,2023-07-23 12:13:51,Brezovica,HR,yes,41.14,12541,Sea boy ask car worker forget.,Croatia,Produce land until control.,hr,
12540,2023-07-22 21:47:46,Product: Krauthaker CHARDONNAY ROSENBERG X 6 = €76.02. Product: Chiavalon Ex Albis - 500ml X 1 = €23.09. Product: - Volume: 500ml. ,124.58,25.47,124.58,"Direct bank transfer <img src=""https://witrina.eu/wp-content/uploads/2022/08/bank-transfer.svg"" class=""attachment-large size-large"" alt="""" />",,2023-08-07 20:09:02,wc-completed,^P+%4MeJ+D,Suite 171,NL,Stephanie,Maldonado,2023-07-26 22:56:06,Rotterdam,NL,0,99.11,12540,Space eat civil wonder.,Europe 2,Hard body century environmental.,en,
12535,2023-07-18 13:03:20,Product: Cidrani Cider Apple Honey X 2 = €29.34. ,32.54,3.2,32.54,"Direct bank transfer <img src=""https://witrina.eu/wp-content/uploads/2022/08/bank-transfer.svg"" class=""attachment-large size-large"" alt="""" />",,2023-08-28 12:06:18,wc-failed,7H!&5Tulw^,Suite 931,HR,Jennifer,White,,Zagreb,HR,0,29.34,12535,Shoulder law artist run view.,Croatia,Participant establish physical party.,hr,
12534,2023-07-18 10:07:22,Product: Olive Oil Cerneka Istarska Bjelica extra virgin - 500ml X 1 = €21.24. Product: - Volume: 500ml. Product: Olive Oil Cerneka Leccino - 500ml X 1 = €21.24. Product: - Volume: 500ml. Product: Olive Oil Cerneka Blended - 500ml X 1 = €21.24. Product: - Volume: 500ml. Product: Olive Oil Cerneka Črnica Extra virgin - 500ml X 1 = €25.22. Product: - Volume: 500ml. ,92.54,3.6,92.54,Stripe Safe Card,3.26,2023-07-21 13:29:33,wc-completed,I$97ZAhyfN,Apt. 194,HR,Lauren,Shannon,2023-07-18 10:07:26,Zambratija,HR,yes,88.94,12534,Health material face.,Croatia,Situation play film such hope.,en,
12504,2023-07-16 14:04:56,"Product: Ivančić Griffin Zero Wine 0,75L X 6 = €175.20. ",179.1,3.9,179.1,Stripe Safe Card,2.94,2023-07-21 13:29:38,wc-completed,KBf9W%emX+,Suite 323,HR,Ronald,Larson,2023-07-16 14:05:02,Zagreb,HR,yes,175.2,12504,Common line police onto by fast necessary fill.,Croatia,When dinner good candidate nation.,hr,
12317,2023-07-14 20:19:26,Product: Old Pilot's Gin X 1 = €48.00. ,67.47,19.47,67.47,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-07-18 12:19:50,wc-completed,tMB1m9Pcj(,Suite 328,DE,Aaron,Mcgee,2023-07-14 20:19:29,Gadebusch,DE,0,48,12317,Since almost management.,Europe 1,Candidate it participant just degree.,de,
12315,2023-07-13 04:18:17,Product: Skaramuca DINGAČ ELEGANCE X 12 = €366.36. ,391.83,25.47,391.83,Stripe Safe Card,12.98,2023-07-14 09:20:14,wc-completed,UY$9fMPfB6,Apt. 713,FR,Wendy,Rodriguez,2023-07-13 04:18:21,Mougins,FR,yes,366.36,12315,Cultural southern important late claim especially according.,Europe 2,Congress season growth weight great total.,en,
12308,2023-07-09 22:58:44,Product: Krauthaker CHARDONNAY ROSENBERG X 11 = €139.37. Product: Krauthaker GRAŠEVINA KASNA BERBA X 1 = €30.53. ,189.37,19.47,189.37,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-08-07 20:09:39,wc-completed,#R5Q3qd)93,Apt. 946,AT,Jack,Chandler,2023-07-09 22:58:47,Austria,AT,0,169.9,12308,Her wind cup sea while road.,Europe 1,Attention else father chair Mr he teach.,de,
12307,2023-07-08 00:59:55,"Product: Ante Sladić Debit Wine 0,75L X 18 = €207.90. ",233.77,25.87,233.77,Apple Pay (Stripe),3.76,2023-07-12 11:31:38,wc-completed,i2Ov5SUZ+j,Apt. 718,CZ,Denise,Cox,2023-07-08 01:00:00,Ostrava,CZ,yes,207.9,12307,Story can success talk goal.,Europe 1,Involve behavior claim so.,en,
12305,2023-07-05 12:47:18,Product: Cidrani Cider Apple Honey X 4 = €58.68. ,58.68,,58.68,"<img src=""https://witrina.eu/wp-content/uploads/2022/08/paypal-payment-witrina.svg"" class=""witrinapayment "" alt=""""> PayPal  ",,2023-07-05 13:13:55,wc-completed,Y+n64*UmDK,Apt. 588,HR,Steven,Huff,2023-07-05 12:47:21,Zagreb,HR,0,58.68,12305,Peace cause tonight serve vote full.,Free shipping,Technology rich job I.,hr,
12304,2023-07-04 16:31:05,Product: Old Pilot's Gin X 1 = €48.00. ,51.2,3.2,51.2,Stripe Safe Card,1.02,2023-07-05 12:01:47,wc-completed,+$4cX^Kr9A,Suite 497,HR,Gabriella,Peterson,2023-07-04 16:31:09,Križevci,HR,yes,48,12304,Management challenge main suffer foot.,Croatia,Sort who citizen civil.,hr,
12303,2023-07-04 11:58:54,Product: Cidrani Apple Cider Original X 1 = €11.81. Product: Kombucha Cidrani Calm Fermented tea X 5 = €10.60. Product: Kombucha Cidrani Confident Fermented tea X 5 = €10.60. Product: Kombucha Cidrani Happy Fermented tea X 5 = €10.60. Product: Kombucha Cidrani Pure Fermented tea X 5 = €10.60. Product: Kombucha Cidrani Young Fermented tea X 5 = €10.60. Product: Kombucha Cidrani Powerful Fermented tea X 5 = €10.60. ,75.41,,75.41,Stripe Safe Card,,2023-07-04 11:59:01,wc-failed,*7pESEicP@,Suite 456,HR,Thomas,Martin,,Zagreb,HR,0,75.41,12303,Physical give attorney similar east very rock first.,Free shipping,Fear range see sister group end.,en,
12302,2023-07-03 06:32:09,"Product: Ante Sladić Debit Wine 0,75L X 6 = €69.30. ",92.37,23.07,92.37,Stripe Safe Card,1.64,2023-07-11 12:07:31,wc-completed,K^9&flYlnr,Suite 699,CZ,Amy,Crawford,2023-07-03 06:32:13,Praha,CZ,yes,69.3,12302,Single stop police keep anyone decade institution.,Europe 1,Region citizen open model message above.,en,
12301,2023-07-02 10:16:58,Product: Pale Ale Zmajska Pivovara X 12 = €19.20. ,40,20.8,40,Stripe Safe Card,1.55,2023-07-12 11:31:30,wc-completed,a3ubIxbK$x,Suite 406,DE,Amber,Bell,2023-07-02 10:17:02,Ostfildern-Nellingen,DE,yes,19.2,12301,Recently keep town far back fly.,Europe 1,Responsibility us him just member.,de,
